ISO_code,rank,score
CZ,1,90.91
EE,2,90.91
ES,3,98.61
GR,4,88.31
LT,5,88.31
FR,6,83.12
FI,7,81.81
DK,8,81.81
NL,9,81.81
DE,10,80.51
SG,11,80.52
SK,12,79.22
IT,13,76.62
GB,14,75.32
MY,15,72.73
CH,16,72.73
RO,17,71.43
LV,18,71.43
PL,19,70.13
PT,20,68.83
GE,21,64.94
HU,22,64.94
RU,23,64.94
BE,24,64.94
IL,25,64.94
UA,26,63.64
RS,27,63.64
IE,28,63.64
US,29,63.64
JP,30,62.34
LU,31,62.34
NO,32,62.34
AU,33,59.74
SA,34,58.44
HR,35,57.14
SI,36,57.14
CA,37,57.14
SE,38,57.14
CL,39,55.84
QA,40,55.84
NZ,41,55.84
BY,42,53.25
BG,43,51.95
UG,44,50.65
IN,45,50.65
MT,46,50.65
BA,47,49.35
CR,48,49.35
PA,49,48.05
MD,50,48.05
MU,51,48.05
AR,52,48.05
UY,53,48.05
CO,54,46.75
BR,55,46.75
IS,56,46.75
KZ,57,45.45
NG,58,44.16
TH,59,42.86
BJ,60,41.56
ZM,61,41.56
DO,62,41.56
AL,63,41.56
TR,64,41.56
CY,65,41.56
PE,66,40.26
MK,67,40.26
PY,68,38.96
KR,69,38.96
MX,70,36.36
KE,71,35.06
EG,72,35.06
EC,73,35.06
CN,74,35.06
BN,75,35.06
VN,76,33.77
AZ,77,33.77
OM,78,33.77
ME,79,33.77
ET,80,32.47
VE,81,32.47
PH,82,32.47
UZ,83,31.17
TN,84,31.17
PK,85,29.87
BD,86,28.57
GT,87,28.57
BO,88,28.57
JM,89,28.57
RW,90,27.27
ZA,91,27.27
AM,92,25.97
LK,93,24.68
CI,94,23.38
MA,95,23.38
CM,96,22.08
NI,97,22.08
MW,98,20.78
GH,99,20.78
TT,100,20.78
ML,101,19.48
LR,102,19.48
SV,103,19.48
KG,104,19.48
ID,105,19.48
TD,106,18.18
LA,107,16.88
AF,108,15.58
ZW,109,15.58
SN,110,15.58
NP,111,14.29
DZ,112,14.29
TJ,113,14.29
BW,114,14.29
JO,115,14.29
CU,116,12.99
TZ,117,12.99
BT,118,12.99
MN,119,11.69
HN,120,10.39
SD,121,6.49
GY,122,6.49
SR,123,6.49
WS,124,5.19
BZ,125,3.9
TM,126,3.9
CG,127,2.6
BI,128,2.6
MG,129,2.6
KI,130,1.3
SS,131,1.3